n,originaltime
7,0.003
14,0.004
21,0.007
28,0.012
35,0.02
42,0.029
49,0.044
56,0.062
63,0.088
70,0.113
77,0.147
84,0.189
91,0.233
98,0.29
105,0.351
112,0.423
119,0.503
126,0.594
133,0.69
140,0.797
147,0.911
154,1.049
161,1.194
168,1.353
175,1.526
182,1.711
189,1.891
196,2.123
203,2.331
210,2.584
217,2.837
224,3.1
231,3.413
238,3.721
245,4.091
252,4.395
259,4.774
266,5.24
273,5.582
280,6.543
287,6.871
294,7.385
301,7.441
308,7.981
315,9.01
322,11.528
329,24.2
336,13.762
343,10.832
350,31.131
357,12.217
358,102.833
359,12.821
360,51.182
361,50.837
362,31.396
363,44.023
364,185.903
365,58.944
366,40.387
367,182.046
368,213.243
369,140.377
370,29.184
371,600
372,54.39
373,399.671
374,31.483
375,16.053
376,124.195
377,82.664
378,285.003
380,600.005
385,353.393
390,600.004
395,75.542
400,21.233
405,408.599
410,600.004
415,600.005
420,600.004
425,600.004
430,600.004
435,600.004
440,600.005
445,600.005
