n,originaltimeg
7,0.004
14,0.008
21,0.007
28,0.011
35,0.018
42,0.028
49,0.044
56,0.061
63,0.083
70,0.11
77,0.143
84,0.181
91,0.232
98,0.295
105,0.357
112,0.425
119,0.522
126,0.607
133,0.7
140,0.814
147,0.917
154,1.08
161,1.198
168,1.334
175,1.531
182,1.696
189,1.898
196,2.208
203,2.423
210,2.731
217,2.921
224,3.16
231,3.549
238,3.9
245,4.206
252,4.437
259,4.83
266,5.286
273,5.793
280,6.041
287,6.659
294,7.132
301,7.648
308,8.04
315,8.562
322,9.421
329,10.118
336,10.581
343,10.978
350,12.117
357,12.448
364,13.768
371,14.167
378,15.202
385,16.183
395,17.151
400,18.163
405,18.509
